101701,1701,"SAV",21613.00,"YES","NO ","NO ","213130951856200","125000574"
101702,1702,"SAV",12420.00,"NO ","YES","NO ","36111111111111","124101555"
101703,1703,"SAV",1511.00,"YES","YES","YES","30510011111111","101100045"
101704,1704,"SAV",2686.00,"YES","YES","NO ","5285696282092972","122400724"
101705,1705,"SAV",107875.90,"YES","YES","NO ","30411111111111","122101706"
201705,1705,"CHK",88262.10,"YES","YES","NO ",NULL,"052001633"
101706,1706,"SAV",12423.00,"YES","NO ","NO ","3400-000000-00009","307070267"
101707,1707,"SAV",3060.00,"YES","YES","NO ","6220264390045758","123103716"
101708,1708,"LN ",594.00,"NO ","YES","NO ","30411111111111","011900571"
101709,1709,"CHK",2419.00,"YES","NO ","YES","5285696282092972","081000032"
101710,1710,"CHK",788.70,"NO ","YES","NO ","3400 000000 00009","122101706"
201710,1710,"SAV",645.30,"NO ","YES","NO ","4024007121595481","011200365"
101711,1711,"CHK",30090.00,"NO ","NO ","NO ","30210111161229","063000047"
101712,1712,"LN ",48212.00,"YES","NO ","NO ","5169-7990-9185-4334","121000358"
101713,1713,"CHK",21535.00,"YES","YES","YES","3400-000000-00009","125000574"
101714,1714,"CHK",19729.00,"YES","YES","NO ",NULL,"011900571"
101715,1715,"CHK",17298.60,"YES","NO ","NO ","5462522444922689","307070267"
201715,1715,"SAV",14153.40,"YES","NO ","NO ","5383908528354962","123103716"
101716,1716,"LN ",719.00,"YES","NO ","YES","3528-3095-1856-2063","063000047"
101717,1717,"CHK",4223.00,"YES","YES","YES","6220264390045758","021300077"
101718,1718,"CHK",2678.00,"NO ","YES","NO ","30111111161229","121000358"
101719,1719,"CHK",29102.00,"YES","NO ","NO ","30210111161229","103000017"
101720,1720,"LN ",15124.00,"NO ","YES","NO ","5520111111111121","041001039"
101721,1721,"CHK",13933.00,"YES","YES","YES","4146 6643 9004 5458","063000047"
101722,1722,"SAV",5636.00,"YES","NO ","NO ","5383908528354962","011000138"
101723,1723,"SAV",24904.00,"NO ","NO ","NO ","38111111111119","071000505"
101724,1724,"SAV",44809.00,"NO ","NO ","NO ","4146664390045458","064000020"
101725,1725,"SAV",39514.20,"YES","YES","NO ","6011567891012132","124000737 "
201725,1725,"CHK",32329.80,"YES","YES","NO ",NULL,"011900571"
101726,1726,"CHK",296.00,"YES","NO ","NO ","38111111111119","011200608"
101727,1727,"CHK",4096.00,"NO ","YES","YES","5462522444922689","113000023"
101728,1728,"LN ",3362.00,"NO ","YES","NO ","38111111111119","123103716"
101729,1729,"CHK",24949.00,"NO ","NO ","NO ","30011111111119","101000035"
101730,1730,"CHK",17189.15,"NO ","YES","NO ","4146-6643-9004-5458","307070267"
