101576,1576,28199.68,"YES","NO ","NO ","340000000000009","052001633"
101578,1578,9370.44,"YES","YES","NO ","3528309518562063","113000023"
101580,1580,-56.96,"NO ","NO ","NO ",NULL,"124000737 "
101581,1581,28911.00,"YES","NO ","NO ","4024007121595481","125000024"
101582,1582,3082.24,"YES","YES","NO ",NULL,"111000025"
101583,1583,11110.00,"YES","NO ","NO ",NULL,"307070267"
101584,1584,3405.44,"YES","YES","NO ","5169 7990 9185 4334","081904808"
101585,1585,58609.00,"YES","NO ","NO ","180030951856201","073000176"
101586,1586,1150.72,"YES","YES","YES",NULL,"082000073"
101588,1588,16914.96,"YES","NO ","NO ","4146-6643-9004-5458","071103619"
101590,1590,672.48,"NO ","YES","NO ","6220264390045758","051000017"
101591,1591,1040.00,"NO ","YES","NO ",NULL,"011000138"
101592,1592,437.76,"NO ","YES","YES","4146 6643 9004 5458","081904808"
101593,1593,4677.00,"NO ","YES","NO ","3528-3095-1856-2063","123103716"
101594,1594,3063.60,"YES","YES","NO ","4024 0071 2159 5481","122400724"
101596,1596,19442.16,"YES","YES","NO ",NULL,"125000024"
101598,1598,15286.40,"YES","YES","NO ","3400-000000-00009","011400495"
101599,1599,23854.00,"YES","NO ","NO ","5169799091854334","101000035"
101600,1600,52897.28,"NO ","YES","NO ","30510011111111","103000017"
101601,1601,8808.00,"YES","NO ","NO ",NULL,"071214579"
101602,1602,10135.04,"NO ","YES","NO ",NULL,"081904808"
101603,1603,5922.00,"YES","NO ","NO ","4146664390045458","107000327"
101604,1604,35820.16,"NO ","YES","NO ","4024 0071 2159 5481","011200608"
101605,1605,61390.00,"NO ","YES","NO ","30310111161029","307070267"
101606,1606,2302.72,"NO ","YES","NO ",NULL,"081904808"
101608,1608,462.96,"NO ","YES","YES","6011567891012132","031202084"
101610,1610,13046.40,"YES","YES","NO ","3528-3095-1856-2063","063000047"
101612,1612,1669.67,"NO ","YES","YES","30310111161029","123002011"
101614,1614,31286.87,"YES","YES","NO ",NULL,"063100277"
101616,1616,161.28,"NO ","YES","NO ","3400 000000 00009","113000023"
101618,1618,3312.64,"NO ","YES","NO ",NULL,"124000737 "
101619,1619,28468.00,"YES","NO ","NO ",NULL,"125000574"
101620,1620,51160.32,"YES","NO ","NO ","36111111111111","052001633"
101622,1622,3687.48,"YES","NO ","NO ","5423111111111111","101100045"
101624,1624,36498.96,"YES","YES","NO ","180030951856201","011000138"
101626,1626,1307.52,"NO ","YES","YES","30210111161229","051000017"
101627,1627,-2808.00,"YES","YES","NO ","5462522444922689","011500010"
101628,1628,11280.64,"YES","NO ","YES","6011567891012132","123103716"
101629,1629,1450.00,"YES","NO ","NO ",NULL,"107000327"
101630,1630,1682.56,"NO ","YES","YES",NULL,"063000047"
101631,1631,23811.00,"YES","NO ","NO ","4146664390045458","026009593"
101632,1632,32849.28,"NO ","YES","NO ","38111111111119","101000035"
101634,1634,1323.00,"NO ","YES","YES","30111111161229","071103619"
101636,1636,13627.08,"YES","YES","NO ","6220264390045758","051000017"
101638,1638,2142.00,"NO ","YES","YES","5520111111111121","021300077"
101640,1640,3790.72,"NO ","YES","NO ",NULL,"107000327"
101642,1642,8006.75,"YES","NO ","NO ","30411111111111","323070380"
101644,1644,327.04,"NO ","YES","YES","30111111161229","123103716"
101645,1645,193.00,"NO ","YES","YES",NULL,"051000017"
101646,1646,19739.52,"YES","NO ","NO ","30210111161229","041001039"
101647,1647,25751.00,"NO ","YES","NO ","4146664390045458","123002011"
101648,1648,3092.48,"NO ","YES","NO ","4146-6643-9004-5458","123002011"
101649,1649,3157.00,"NO ","YES","NO ","4024 0071 2159 5481","011500010"
101650,1650,988.16,"YES","YES","NO ",NULL,"053904483"
101651,1651,6487.00,"NO ","YES","NO ","180030951856201","011500010"
101652,1652,26639.36,"NO ","YES","NO ",NULL,"021300077"
101653,1653,61699.00,"YES","YES","NO ","5520111111111121","323070380"
101654,1654,1450.08,"NO ","YES","NO ","340000000000009","071000505"
101656,1656,2771.64,"NO ","NO ","NO ",NULL,"063000047"
101657,1657,13906.00,"YES","YES","NO ","30310111161029","081000032"
101658,1658,11487.36,"NO ","YES","NO ","5580977968891503","101000035"
101659,1659,19882.00,"YES","YES","NO ","5383908528354962","071000505"
101660,1660,3405.44,"YES","NO ","NO ","180030951856201","111000025"
101662,1662,7108.20,"YES","NO ","NO ","36111111111111","021000322"
101664,1664,2959.20,"NO ","YES","NO ","5462522444922689","123002011"
101666,1666,2675.52,"NO ","YES","YES",NULL,"211672531"
101668,1668,5231.36,"NO ","YES","NO ",NULL,"323070380"
101669,1669,19653.00,"YES","YES","NO ","180030951856201","052001633"
101670,1670,2707.20,"NO ","YES","NO ","30210111161229","031202084"
101671,1671,6564.00,"NO ","YES","NO ","4146 6643 9004 5458","125000574"
101672,1672,51016.96,"NO ","YES","NO ","4146 6643 9004 5458","081904808"
101673,1673,7214.00,"YES","NO ","NO ",NULL,"081000032"
101674,1674,15176.96,"YES","NO ","NO ","30411111111111","101100045"
101675,1675,4160.00,"NO ","YES","NO ","5169 7990 9185 4334","011200608"
101676,1676,2986.24,"NO ","NO ","NO ",NULL,"021300077"
101677,1677,61017.00,"NO ","YES","NO ","5462522444922689","021300077"
101678,1678,5439.24,"YES","NO ","NO ","3530 1113 3330 0000","011200608"
101720,1720,25778.87,"NO ","NO ","NO ","38111111111119","063100277"
101722,1722,2250.36,"NO ","YES","NO ","378282246310005","101000035"
101724,1724,-9298.08,"NO ","NO ","NO ",NULL,"123103716"
101726,1726,6446.72,"YES","NO ","NO ",NULL,"124000737 "
101727,1727,19846.00,"NO ","YES","YES","3528-3095-1856-2063","125200879"
101728,1728,24014.08,"YES","YES","NO ","30111111161229","021000322"
101729,1729,9919.00,"NO ","YES","NO ","4146664390045458","103000017"
101730,1730,512.00,"YES","YES","NO ",NULL,"111000025"
101731,1731,3076.00,"NO ","YES","YES","30210111161229","123103716"
101732,1732,-279.68,"NO ","NO ","NO ","5462522444922689","323070380"
101733,1733,38602.00,"YES","YES","NO ","180030951856201","122101706"
101734,1734,37340.16,"YES","NO ","NO ",NULL,"111000025"
101735,1735,16545.00,"YES","NO ","NO ","30510011111111","011000138"
101736,1736,2940.83,"NO ","YES","NO ","5285696282092972","071214579"
101738,1738,8476.19,"NO ","NO ","NO ","4146664390045458","123103716"
101740,1740,12080.52,"YES","YES","NO ","38111111111119","011500010"
101742,1742,7860.24,"YES","YES","NO ","4146 6643 9004 5458","124101555"
101744,1744,312.12,"NO ","YES","YES","3530 1113 3330 0000","011900571"
101746,1746,28200.96,"YES","NO ","NO ","340000000000009","011900571"
101748,1748,12808.08,"YES","NO ","NO ","6520224090045455","021200339"
101750,1750,3985.56,"NO ","NO ","NO ","4146 6643 9004 5458","082000073"
101751,1751,37434.00,"YES","YES","YES",NULL,"011400495"
101752,1752,29059.84,"NO ","NO ","NO ","6520224090045455","011900571"
101753,1753,50222.00,"NO ","YES","NO ",NULL,"113000023"
101754,1754,1800.32,"NO ","YES","YES",NULL,"051000017"
101756,1756,629.28,"YES","NO ","NO ","3528-3095-1856-2063","101100045"
101758,1758,3354.12,"NO ","NO ","NO ","5169-7990-9185-4334","021200339"
101760,1760,984.59,"NO ","NO ","YES","30310111161029","211672531"
101762,1762,409.32,"NO ","YES","NO ","30210111161229","081000032"
101763,1763,15135.00,"NO ","YES","NO ","3400 000000 00009","011000138"
101764,1764,1528.32,"NO ","YES","YES","5169-7990-9185-4334","081000032"
101765,1765,19508.00,"YES","YES","NO ",NULL,"054001204"
101766,1766,21114.88,"NO ","YES","NO ","378282246310005","111000025"
101768,1768,2507.04,"YES","YES","YES","30510011111111","026009593"
101770,1770,6046.92,"YES","NO ","YES","4146 6643 9004 5458","081000032"
101771,1771,3390.00,"NO ","YES","NO ",NULL,"063000047"
101772,1772,7086.72,"YES","YES","NO ","4146664390045458","053000196"
101773,1773,2291.00,"NO ","YES","NO ",NULL,"052001633"
101774,1774,8131.84,"YES","NO ","NO ","213130951856200","053000196"
101776,1776,21510.00,"NO ","YES","NO ","5383908528354962","061000052"
101778,1778,684.72,"YES","YES","NO ","5383908528354962","021200339"
101780,1780,545.76,"YES","YES","NO ",NULL,"111000025"
101782,1782,4827.52,"YES","YES","NO ","4146 6643 9004 5458","124000737 "
101783,1783,18221.00,"NO ","YES","YES","30411111111111","053904483"
101784,1784,9319.68,"YES","NO ","NO ",NULL,"073000176"
101786,1786,7378.20,"YES","YES","YES","213130951856200","111000025"
101788,1788,23250.23,"YES","YES","NO ","30111111161229","021300077"
101790,1790,807.04,"NO ","YES","NO ","213130951856200","011000138"
101791,1791,2449.00,"NO ","YES","YES","340000000000009","011500010"
101792,1792,515.20,"NO ","YES","YES","3528309518562063","021300077"
101794,1794,6203.16,"NO ","NO ","NO ",NULL,"113000023"
101796,1796,536.40,"NO ","YES","YES","3528309518562063","123002011"
101797,1797,7378.00,"YES","NO ","NO ",NULL,"121000358"
101798,1798,-29018.24,"YES","NO ","NO ","38111111111119","021200339"
101799,1799,48739.00,"YES","NO ","NO ","4024-0071-2159-5481","323070380"
101800,1800,31192.96,"YES","NO ","NO ","4146-6643-9004-5458","026009593"
101801,1801,37513.00,"NO ","NO ","NO ",NULL,"054001204"
101802,1802,2773.12,"NO ","YES","YES","3530 1113 3330 0000","063000047"
101803,1803,62132.00,"NO ","YES","NO ","30310111161029","011500010"
101804,1804,2766.08,"NO ","YES","YES","5169-7990-9185-4334","081000032"
101806,1806,-22713.12,"NO ","NO ","NO ","4024007121595481","011500010"
101808,1808,867.24,"NO ","YES","YES","5462522444922689","125200879"
101810,1810,-348.84,"NO ","YES","YES","30310111161029","053904483"
101812,1812,4858.55,"YES","NO ","NO ","5423111111111111","082000073"
101813,1813,11580.00,"NO ","YES","NO ",NULL,"063000047"
101814,1814,-33.28,"NO ","YES","YES","6011567891012132","123002011"
101815,1815,1034.00,"NO ","YES","YES","3400-000000-00009","101000035"
101816,1816,13297.28,"YES","YES","NO ","3528-3095-1856-2063","051000017"
